interview_date,pstr
82,5
10,5
48,5
86,7
8,3
49,5
95,6
25,15
47,16
90,7
11,5
43,4
82,3
68,2
19,7
62,3
88,8
7,9
47,2
90,1
55,5
81,2
53,3
96,3
9,2
82,2
6,8
48,8
84,11
5,5
45,8
85,6
3,5
54,3
92,3
17,5
81,2
58,7
8,4
43,7
85,4
48,8
87,4
3,4
53,2
96,2
41,3
87,4
11,1
88,8
4,3
12,10
9,3
52,3
52,8
92,6
6,5
81,10
54,4
98,7
102,11
13,5
47,5
91,4
31,11
91,7
6,8
45,6
82,7
90,4
8,7
47,11
91,8
13,2
50,2
88,3
3,12
52,14
85,12
17,5
47,3
105,3
86,5
90,7
13,7
53,2
88,6
16,9
17,2
53,2
53,2
84,1
58,6
12,1
13,9
53,6
82,5
52,5
13,4
53,4
87,6
9,7
61,9
61,9
84,6
25,3
87,2
12,6
49,11
4,4
45,7
86,4
1,4
42,6
82,4
52,6
86,4
6,1
41,12
94,10
7,7
52,7
95,8
8,1
42,6
4,3
45,6
81,3
7,4
48,7
86,3
51,2
45,7
85,4
7,6
47,4
83,5
41,7
85,4
14,4
52,7
87,6
86,7
7,11
51,6
87,6
11,6
102,7
87,4
11,4
44,2
83,3
31,5
44,3
7,6
52,2
82,5
2,6
45,7
6,6
41,5
82,9
8,5
52,3
82,3
3,1
14,5
46,6
102,5
55,8
16,4
44,5
90,5
6,3
42,2
92,0
10,2
46,2
54,3
85,4
7,4
1,9
45,12
83,13
47,8
88,9
7,8
44,8
84,6
1,1
7,4
50,5
82,8
53,5
81,3
13,4
58,5
20,5
55,5
86,4
54,3
41,5
13,6
11,7
53,12
7,9
7,2
42,0
82,0
10,5
48,8
87,6
49,4
87,7
17,8
62,5
10,5
45,5
82,4
55,4
81,5
3,6
87,7
11,5
41,8
41,5
12,9
45,10
85,4
1,11
8,1
43,8
84,1
40,2
47,8
5,5
129,8
59,9
10,0
55,10
98,8
8,8
45,9
86,8
10,7
56,5
81,7
18,7
53,7
89,7
19,2
65,3
99,2
4,2
46,3
85,7
8,3
47,2
87,3
11,3
48,3
91,3
7,2
47,8
82,4
12,7
47,3
87,2
45,5
8,1
85,1
45,11
82,11
2,8
